ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);LIGHT ( lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION X (°);ORIENTATION Y (°);ORIENTATION Z (°);PROXIMITY ( in);Temperature ( °F);Level (%);Voltage (Volt);Time since start in ms ; 
0.3814; 0.7627; 9.6023; 160.0; -28.19; 21.81; -34.81; 47.06; -4.99; -1.78; 3.543307; 90.3; 79.0; 4.115; 13; 
0.3814; 0.8308; 9.6432; 160.0; -27.5; 19.88; -35.5; 48.27; -4.69; -1.99; 3.543307; 90.3; 79.0; 4.115; 516; 
0.2996; 0.8308; 9.6432; 160.0; -28.31; 19.88; -35.81; 49.32; -4.87; -1.84; 3.543307; 90.3; 79.0; 4.115; 1028; 
0.3814; 0.8717; 9.5751; 160.0; -28.69; 21.56; -35.19; 48.19; -4.77; -1.84; 3.543307; 90.3; 79.0; 4.115; 1550; 
0.2996; 0.8717; 9.7249; 160.0; -28.81; 21.06; -35.19; 49.22; -5.05; -1.76; 3.543307; 90.3; 79.0; 4.115; 2065; 
0.2996; 0.9534; 9.7658; 160.0; -27.37; 20.38; -34.75; 48.2; -5.1; -1.87; 3.543307; 90.3; 79.0; 4.115; 2566; 
0.3814; 0.8717; 9.6841; 160.0; -29.0; 19.31; -35.19; 51.25; -5.24; -2.13; 3.543307; 90.3; 79.0; 4.115; 3081; 
0.4903; 0.8717; 9.5751; 160.0; -28.81; 20.44; -36.5; 49.84; -5.07; -2.35; 3.543307; 90.3; 79.0; 4.115; 3581; 
0.4903; 0.8308; 9.6432; 160.0; -29.06; 20.0; -34.56; 50.21; -4.87; -2.25; 3.543307; 90.3; 79.0; 4.115; 4082; 
0.3405; 0.9534; 9.6432; 160.0; -28.12; 20.88; -35.06; 47.4; -4.99; -2.7; 3.543307; 90.3; 79.0; 4.115; 4582; 

