ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);LIGHT ( lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION X (°);ORIENTATION Y (°);ORIENTATION Z (°);PROXIMITY ( in);Temperature ( °F);Level (%);Voltage (Volt);Time since start in ms ; 
0.3814; 0.8308; 10.1063; 160.0; -5.62; 11.75; -48.12; 21.85; -4.68; 0.44; 3.543307; 89.2; 77.0; 3.947; 4; 
-0.4495; 0.2996; 10.7192; 160.0; -6.12; 15.44; -49.62; 11.89; -5.63; -2.08; 3.543307; 89.2; 77.0; 3.947; 505; 
0.4086; 0.2996; 11.6726; 160.0; -6.37; 23.13; -54.5; 15.32; -4.53; 0.18; 3.543307; 89.2; 77.0; 3.947; 1005; 
-0.1907; 1.2258; 10.3378; 160.0; -8.94; 31.06; -54.75; 10.84; -5.38; -2.18; 3.543307; 89.2; 77.0; 3.947; 1521; 
-0.4495; 1.4165; 10.0246; 160.0; -19.06; 33.06; -42.31; 22.78; -7.89; -3.74; 3.543307; 89.2; 77.0; 3.947; 2048; 
0.8036; 0.0681; 6.9328; 160.0; -20.5; 23.19; -43.37; 27.15; -3.75; -7.58; 3.543307; 89.2; 77.0; 3.947; 2548; 
0.0272; -0.6402; 11.0325; 160.0; -24.81; 16.88; -44.81; 57.82; 1.44; 0.28; 3.543307; 89.2; 77.0; 3.947; 3063; 
0.5312; 0.4495; 8.2676; 160.0; -24.56; 9.94; -56.87; 71.48; 2.14; -1.59; 3.543307; 89.2; 77.0; 3.947; 3564; 
0.5312; 0.0; 9.6023; 160.0; -22.0; 5.0; -67.19; 72.88; -0.75; -2.45; 3.543307; 89.2; 77.0; 3.947; 4082; 

