ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);LIGHT ( lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION X (°);ORIENTATION Y (°);ORIENTATION Z (°);PROXIMITY ( in);Temperature ( °F);Level (%);Voltage (Volt);Time since start in ms ; 
0.1907; 1.2258; 9.7249; 160.0; -7.12; 12.44; -46.56; 25.59; 0.47; -1.75; 3.543307; 87.3; 76.0; 3.931; 17; 
-0.5312; 1.5255; 10.188; 160.0; -9.94; 25.94; -40.5; 15.26; -6.18; -2.51; 3.543307; 87.3; 76.0; 3.931; 523; 
-0.2588; 1.0624; 9.4117; 160.0; -17.87; 35.63; -51.12; 23.39; -0.6; -2.45; 3.543307; 87.3; 76.0; 3.931; 1024; 
9.1529; 2.5198; 19.3818; 160.0; -18.56; 5.56; -52.69; 40.91; 2.03; -1.78; 3.543307; 87.3; 76.0; 3.931; 1524; 
-18.4964; -0.4495; 9.221; 160.0; -29.37; 0.25; 41.56; 126.03; -13.34; -9.99; 3.543307; 87.3; 76.0; 3.931; 2024; 
5.2847; -11.2504; 12.558; 160.0; 11.88; 45.63; -10.87; 5.98; 8.7; 63.6; 3.543307; 87.3; 76.0; 3.931; 2524; 
1.0624; -2.9011; 11.945; 160.0; -0.31; 27.31; -35.25; 292.32; 37.84; -14.53; 3.543307; 87.3; 76.0; 3.931; 3040; 
-0.5721; 3.1327; 6.4697; 160.0; -14.5; 15.19; -51.44; 42.2; 7.97; -7.88; 3.543307; 87.3; 76.0; 3.931; 3571; 
0.8308; 4.0861; 8.3084; 160.0; -21.31; -11.12; -68.31; 73.26; -12.89; 2.39; 3.543307; 87.3; 76.0; 3.931; 4071; 

