ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);LIGHT ( lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION X (°);ORIENTATION Y (°);ORIENTATION Z (°);PROXIMITY ( in);Temperature ( °F);Level (%);Voltage (Volt);Time since start in ms ; 
0.4086; 0.0681; 9.5342; 160.0; -31.69; 31.31; -26.12; 45.44; 0.32; -1.46; 3.543307; 89.8; 78.0; 3.956; 5; 
0.4903; 0.4903; 9.8067; 160.0; -28.25; 26.75; -32.44; 44.79; -0.12; -2.01; 3.543307; 89.8; 78.0; 3.956; 506; 
1.1441; 1.2939; 7.8453; 160.0; -26.62; 17.56; -38.69; 52.73; -1.86; -2.38; 3.543307; 89.8; 78.0; 3.956; 1031; 
0.4903; 0.0272; 9.9156; 160.0; -27.56; 24.63; -35.12; 39.96; -7.04; -6.2; 3.543307; 89.8; 78.0; 3.956; 1533; 
0.5312; -0.0681; 12.054; 160.0; -28.19; 25.56; -34.81; 45.14; -2.75; -3.43; 3.543307; 89.8; 78.0; 3.956; 2033; 
0.681; -0.1907; 9.7658; 160.0; -25.56; 20.81; -33.87; 47.22; -1.63; -3.66; 3.543307; 89.8; 78.0; 3.956; 2534; 
1.4165; 1.5255; 9.5342; 160.0; -31.25; 15.06; -28.87; 59.78; -2.0; -6.24; 3.543307; 89.8; 78.0; 3.956; 3065; 
1.5255; 3.1327; 8.4174; 160.0; -32.19; 11.88; -26.94; 54.7; -11.13; -9.44; 3.543307; 89.8; 78.0; 3.956; 3579; 
1.5663; 2.8603; 9.0712; 160.0; -32.06; 11.88; -28.5; 49.33; -19.63; -10.72; 3.543307; 89.8; 78.0; 3.956; 4079; 
1.2531; 1.6072; 9.4934; 160.0; -32.12; 12.63; -28.69; 46.3; -20.28; -11.75; 3.543307; 89.8; 78.0; 3.956; 4583; 
1.6072; 0.4086; 9.221; 160.0; -31.37; 15.75; -28.62; 52.26; -11.36; -7.48; 3.543307; 89.8; 78.0; 3.956; 5083; 
0.9943; -0.5312; 10.0654; 160.0; -28.87; 20.31; -32.06; 48.45; -2.46; -7.99; 3.543307; 89.8; 78.0; 3.956; 5583; 
1.1032; -0.7627; 11.6726; 160.0; -30.12; 31.5; -25.44; 39.89; 2.37; -9.03; 3.543307; 89.8; 78.0; 3.956; 6109; 
0.8036; 0.2179; 9.4117; 160.0; -27.94; 24.94; -33.75; 46.27; 3.02; -6.35; 3.543307; 89.8; 78.0; 3.956; 6610; 
0.7627; 0.2996; 8.7715; 160.0; -28.19; 25.56; -30.19; 45.97; 2.81; -5.17; 3.543307; 89.8; 78.0; 3.956; 7111; 
0.6129; 0.0681; 9.4117; 160.0; -27.81; 25.63; -31.12; 45.28; 0.01; -3.15; 3.543307; 89.8; 78.0; 3.956; 7612; 

