ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);LIGHT ( lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION X (°);ORIENTATION Y (°);ORIENTATION Z (°);PROXIMITY ( in);Temperature ( °F);Level (%);Voltage (Volt);Time since start in ms ; 
0.4086; 0.1907; 10.6375; 160.0; -27.69; 31.69; -37.75; 38.22; -2.13; -2.48; 3.543307; 90.3; 79.0; 4.115; 5; 
0.4495; 0.9126; 8.6489; 160.0; -23.44; 22.5; -36.94; 41.73; -1.64; -2.34; 3.543307; 90.3; 79.0; 4.115; 505; 
0.4086; 0.6129; 8.3765; 160.0; -25.75; 27.81; -35.44; 37.2; -4.08; -3.33; 3.543307; 90.3; 79.0; 4.115; 1009; 
0.4903; 0.3814; 8.6489; 160.0; -26.87; 30.25; -35.69; 37.38; -0.9; -1.76; 3.543307; 90.3; 79.0; 4.115; 1520; 
0.4903; 0.5312; 8.4174; 160.0; -25.56; 28.5; -36.25; 39.1; -1.38; -1.43; 3.543307; 90.3; 79.0; 4.115; 2020; 
0.5312; 0.681; 9.4934; 160.0; -25.0; 27.38; -36.44; 39.8; -2.15; -2.15; 3.543307; 90.3; 79.0; 4.115; 2520; 
0.4903; 0.2996; 9.4117; 160.0; -24.37; 24.06; -36.94; 40.15; -3.6; -2.71; 3.543307; 90.3; 79.0; 4.115; 3058; 
0.1907; 0.2179; 10.0654; 160.0; -25.25; 29.94; -36.81; 34.9; -4.24; -3.27; 3.543307; 90.3; 79.0; 4.115; 3577; 
-0.2996; 0.5721; 9.9565; 160.0; -22.12; 22.31; -36.44; 44.59; 0.16; -0.66; 3.543307; 90.3; 79.0; 4.115; 4102; 
0.4086; 1.6072; 9.7658; 160.0; -23.69; 18.38; -35.06; 51.48; -2.3; 0.57; 3.543307; 90.3; 79.0; 4.115; 4623; 
0.6402; 2.0975; 8.7306; 160.0; -26.5; 15.06; -34.94; 55.28; -5.23; 0.24; 3.543307; 90.3; 79.0; 4.115; 5123; 
0.7219; 1.5255; 9.1937; 160.0; -26.5; 15.63; -33.62; 46.76; -11.32; -3.19; 3.543307; 90.3; 79.0; 4.115; 5623; 
0.5312; 1.0624; 9.7658; 160.0; -26.75; 15.63; -33.5; 50.34; -8.18; -3.35; 3.543307; 90.3; 79.0; 4.115; 6124; 
0.9126; 0.4495; 9.6432; 160.0; -26.06; 18.94; -33.37; 48.44; -5.55; -3.19; 3.543307; 90.3; 79.0; 4.115; 6661; 
0.681; 0.1907; 9.7658; 160.0; -26.25; 21.75; -38.19; 43.73; -3.55; -5.22; 3.543307; 90.3; 79.0; 4.115; 7162; 
0.681; -0.7627; 10.2153; 160.0; -28.31; 30.63; -37.94; 37.6; -1.85; -4.6; 3.543307; 90.3; 79.0; 4.115; 7662; 
0.681; -0.0272; 8.8396; 160.0; -28.31; 31.31; -38.06; 39.94; 2.05; -4.03; 3.543307; 90.3; 79.0; 4.115; 8162; 
0.3814; -0.7219; 10.7601; 160.0; -28.81; 35.38; -38.31; 41.07; 5.22; -2.58; 3.543307; 90.3; 79.0; 4.115; 8687; 
-0.0272; 0.0; 9.9565; 160.0; -25.19; 34.31; -41.19; 34.48; 0.53; -4.08; 3.543307; 90.3; 79.0; 4.115; 9196; 

