ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);LIGHT ( lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION X (°);ORIENTATION Y (°);ORIENTATION Z (°);PROXIMITY ( in);Temperature ( °F);Level (%);Voltage (Volt);Time since start in ms ; 
0.3814; 1.2258; 9.9973; 160.0; -5.12; 8.38; -48.62; 20.38; -5.6; -0.31; 3.543307; 89.2; 77.0; 3.947; 6; 
0.1907; 1.0624; 8.9894; 160.0; -5.06; 13.0; -48.69; 9.19; -8.4; -2.12; 3.543307; 89.2; 77.0; 3.947; 507; 
0.9943; 0.4495; 9.2618; 160.0; -7.06; 19.94; -53.94; 16.37; -3.37; -0.21; 3.543307; 89.2; 77.0; 3.947; 1007; 
-0.5721; 2.2201; 9.0712; 160.0; -8.37; 27.75; -57.44; 8.87; -4.45; -2.95; 3.543307; 89.2; 77.0; 3.947; 1508; 
-1.3757; 1.4438; 9.3436; 160.0; -13.5; 32.94; -47.06; 6.32; -10.79; -4.96; 3.543307; 89.2; 77.0; 3.947; 2008; 
0.4086; 0.4903; 8.6898; 160.0; -19.44; 26.88; -40.44; 35.43; -2.14; 1.79; 3.543307; 89.2; 77.0; 3.947; 2525; 
1.6753; -0.5312; 9.4525; 160.0; -23.62; 22.31; -44.06; 46.48; 3.83; -5.25; 3.543307; 89.2; 77.0; 3.947; 3061; 
0.1498; 0.5721; 7.8045; 160.0; -23.5; 14.0; -52.5; 63.18; 2.36; 4.33; 3.543307; 89.2; 77.0; 3.947; 3578; 
0.681; 0.4495; 9.1529; 160.0; -20.81; 5.75; -67.44; 68.36; -0.59; -3.48; 3.543307; 89.2; 77.0; 3.947; 4078; 

