ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);LIGHT ( lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION X (°);ORIENTATION Y (°);ORIENTATION Z (°);PROXIMITY ( in);Temperature ( °F);Level (%);Voltage (Volt);Time since start in ms ; 
-0.9534; 2.7922; 9.112; 160.0; -0.69; 6.75; -47.31; 7.69; -11.85; 1.5; 3.543307; 87.3; 76.0; 3.931; 10; 
-1.9886; 3.8682; 11.1414; 160.0; -7.87; 17.44; -47.81; 22.21; -9.92; 2.62; 3.543307; 87.3; 76.0; 3.931; 510; 
1.7162; -1.0215; 10.5694; 160.0; -15.06; 27.31; -55.87; 28.89; -12.29; 6.14; 3.543307; 87.3; 76.0; 3.931; 1035; 
-13.3616; -1.6072; 19.2183; 160.0; -36.56; -16.31; -36.0; 129.86; 5.77; -17.41; 3.543307; 87.3; 76.0; 3.931; 1536; 
-3.0646; -7.7364; 5.9249; 160.0; -10.75; 31.5; 1.19; 18.93; 0.93; 1.01; 3.543307; 87.3; 76.0; 3.931; 2037; 
3.9363; -2.7513; 18.6463; 160.0; -0.81; 43.56; -37.87; 47.11; 42.74; 72.43; 3.543307; 87.3; 76.0; 3.931; 2557; 
0.3405; 0.1907; 11.8361; 160.0; -0.37; 21.38; -42.0; 270.62; 29.32; -17.11; 3.543307; 87.3; 76.0; 3.931; 3057; 
-0.3405; 1.3757; 9.1937; 160.0; -13.25; 16.44; -57.06; 41.57; -3.32; 4.1; 3.543307; 87.3; 76.0; 3.931; 3569; 
2.3291; 2.3291; 8.5808; 160.0; -22.06; 5.81; -68.75; 50.34; -11.88; 1.71; 3.543307; 87.3; 76.0; 3.931; 4069; 

