ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);LIGHT ( lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION X (°);ORIENTATION Y (°);ORIENTATION Z (°);PROXIMITY ( in);Temperature ( °F);Level (%);Voltage (Volt);Time since start in ms ; 
0.4495; 0.8036; 8.2267; 160.0; -28.0; 22.25; -34.5; 52.22; 1.57; -1.44; 3.543307; 89.8; 78.0; 3.956; 32; 
0.2588; -0.0681; 9.8748; 160.0; -29.56; 27.06; -29.5; 47.48; -0.06; -1.02; 3.543307; 89.8; 78.0; 3.956; 533; 
0.2179; -0.681; 12.1357; 160.0; -30.31; 27.56; -21.69; 47.12; -2.35; -1.98; 3.543307; 89.8; 78.0; 3.956; 1035; 
0.5721; -0.0681; 9.6841; 160.0; -27.87; 23.31; -33.94; 51.02; 1.62; -1.34; 3.543307; 89.8; 78.0; 3.956; 1547; 
0.3814; 0.1907; 8.036; 160.0; -28.19; 24.56; -31.75; 46.62; 0.19; -2.91; 3.543307; 89.8; 78.0; 3.956; 2047; 
0.3814; -0.1907; 10.7601; 160.0; -27.31; 26.94; -32.75; 46.16; 0.41; -2.05; 3.543307; 89.8; 78.0; 3.956; 2570; 
0.3814; 0.3405; 9.4525; 160.0; -26.06; 19.63; -32.5; 53.64; 2.18; -0.94; 3.543307; 89.8; 78.0; 3.956; 3086; 
0.3814; 0.2996; 9.5342; 160.0; -29.81; 17.81; -29.75; 55.93; -2.51; -2.57; 3.543307; 89.8; 78.0; 3.956; 3596; 
0.1907; 1.866; 8.3084; 160.0; -31.62; 14.63; -26.62; 61.5; -1.02; -5.12; 3.543307; 89.8; 78.0; 3.956; 4116; 
0.8308; 1.0624; 8.9894; 160.0; -32.31; 13.0; -27.19; 58.24; -13.36; -2.17; 3.543307; 89.8; 78.0; 3.956; 4641; 
1.185; 0.2996; 8.8805; 160.0; -32.5; 15.06; -29.31; 56.54; -7.69; -5.67; 3.543307; 89.8; 78.0; 3.956; 5141; 
-0.2588; -0.2179; 11.1006; 160.0; -28.19; 21.44; -38.37; 46.95; -1.47; -8.32; 3.543307; 89.8; 78.0; 3.956; 5642; 
0.1498; 0.9126; 8.1858; 160.0; -38.25; 24.63; -38.44; 56.64; 0.29; -0.5; 3.543307; 89.8; 78.0; 3.956; 6167; 
0.1907; 0.4086; 8.6081; 160.0; -40.0; 29.44; -36.5; 49.94; -3.9; -3.26; 3.543307; 89.8; 78.0; 3.956; 6670; 
0.2179; 0.1498; 9.3436; 160.0; -41.0; 30.19; -36.44; 51.42; -1.49; -1.49; 3.543307; 89.8; 78.0; 3.956; 7170; 
0.2996; 0.109; 9.5751; 160.0; -40.81; 33.13; -37.25; 49.7; -1.04; -1.95; 3.543307; 89.8; 78.0; 3.956; 7670; 

